VRG,PUR,VID,TEX,RAN
62052.0922,166404.1295,38588.0416,52836.0285,99712.14
59488.0228,163343.926,38680.0223,48679.9476,101031.9413
62775.9074,166259.8338,38587.9596,46308.0014,101875.8328
60188.009,165567.8705,38671.96,104499.8817,98991.8795
60607.9039,164663.8496,38587.9487,88191.8854,99059.9405
61843.8947,166011.8296,38667.9636,66671.9401,99523.9349
61311.8917,165995.7981,38588.0529,76847.8735,98835.9876
61127.9207,166059.8555,38623.9506,43651.9301,101539.8553
59079.928,163451.7183,38587.8351,50775.8932,100711.9124
60871.9194,165731.9689,38671.955,42136.0221,99519.9059
61367.9319,166483.7869,38587.929,40815.9613,99303.9047
61599.9388,165879.8075,38608.0826,49560.0175,101111.8791
59976.0592,164771.7368,38575.9458,49752.0287,99219.9279
59840.0666,164987.8144,38611.957,66639.8867,102592.0067
60059.9261,165031.8125,38588.0035,54552.0036,99999.8916
60636.0124,165407.808,38680.1309,59899.9993,98143.9136
60955.9479,164359.8189,38583.978,58875.9458,100807.9919
60895.925,163411.7232,38603.9543,58531.9545,99327.8404
59323.937,165327.8414,38579.9466,53523.9307,101271.8782
58895.9111,163967.8941,38627.9268,73507.9951,100579.9405
58799.9084,164911.8194,38575.9749,72647.9036,101127.9899
59111.8935,164451.8108,38664.0321,75579.977,98411.8557
60772.0282,165219.8745,38588.0251,50687.9332,101463.7608
59483.9099,164039.8217,38671.9495,43108.1073,98971.834
59067.9784,164495.7626,38583.9339,39371.8509,99443.9798
61312.0624,165591.8045,38607.8835,38975.9355,98983.8699
61664.0311,166067.9161,38575.7986,40524.0046,98087.8094
60871.8879,165355.918,38611.9911,44199.9367,99619.9304
57083.9438,163791.9557,38576.029,34171.93,98639.9019
57571.9609,164395.7926,38631.921,62083.9249,101339.9067
57684.0143,163947.7755,38591.8701,41720.0121,99979.9936
59083.98,165139.8122,38623.9473,56075.9212,98803.8709
60931.9812,165239.9834,38595.9735,44888.0367,98083.8429
58099.9305,163119.9681,38639.9342,49136.0823,100591.8765
59647.9494,164515.8136,38584.0591,46499.9566,99407.974
57607.9655,163499.7833,38683.922,81900.0136,98255.9859
59203.8431,163979.7622,38587.9598,67575.9923,100847.8987
58355.913,164291.8244,38867.9601,64367.9352,99203.8714
60451.8988,164807.8124,38611.9823,70667.8821,99163.841
58247.899,164083.8397,38623.9515,57723.9368,98111.8568
61499.9222,164919.8323,38591.8884,60819.9963,100063.8968
61135.9474,164575.864,38611.957,50567.9644,102715.8855
61935.9266,165943.7374,38595.9775,43751.9151,100571.8655
56803.9573,162787.8799,38660.0609,59436.0504,99663.9095
62887.8805,166527.8111,38587.957,44375.9754,100763.9068
60647.9687,164863.8474,38595.9213,48499.9646,100836.0478
