,R1,R2,R3
S100,0.08763483829419375,0.03838178735605882,
S101,0.04493354725760067,,
S102,0.10306664272470614,,0.016223342401616093
S103,0.05111156434365867,0.02531667742760832,
S104,0.023278169528653893,,
S105,0.5577100463578567,,
S106,0.013151476385455394,,
S107,0.0636576683369885,,
S108,0.052729908597030695,,
S109,0.03878458774357345,,
S110,,,
S111,0.04743248296496823,,
S112,0.0188798132517797,0.07077406903000569,
S113,0.04107407981241488,,
S114,0.02996028927944447,,
S115,0.04930010310038485,,
S116,0.04007508048758248,,
S117,0.02317454138623292,,
S118,0.0437827300362523,0.01536995093858311,
S119,0.025451915768608807,,
S120,0.1570228682609943,,
S121,0.01707775363360952,,
S122,0.018986075807614158,,
S123,0.14144939228026768,,
S124,0.14327345140523146,,
S125,0.18922056194484688,,
S126,,,
S127,0.02307922693681722,,
S128,0.03485447179346457,,
S129,,,
S130,0.36255467393932056,0.020847382333676036,
S131,0.04909031439581886,,
S132,0.4100475624191799,,
S133,0.1889824437290393,,
S134,0.316456600454728,,
S135,0.33216750042331655,,
S136,0.4870983364213979,,
S137,0.06473990435866087,0.020457786013651523,0.034450901287376365
S138,1.8449118881027373,0.7393372318516235,
S139,0.029169727395563595,,
S140,0.9553966798929039,,
S141,0.02004787749408967,,
S142,0.04352861007093145,,
S143,,,
S144,0.06459884589581529,,
S145,0.73281058666489,0.19020320475935973,
S146,0.09872285975544555,,
S147,0.14158192861686944,0.14002020404585963,0.26904578645611366
S148,0.019894237575681768,,
S149,0.18197291428943405,,
S150,0.0421942204372703,,
S151,0.04018956339481611,,0.023492509017321105
S152,0.051031930277832205,,
S153,0.02407529063567678,,
S154,0.1389877864478261,,
S155,0.019331621364007796,,
S156,0.11187141052274456,,
S157,0.042076451076923496,,
S158,0.015005084759461138,,
S159,0.011510090858240462,,
S160,0.08857818711795831,,
S161,0.3811554968549834,,
S162,0.0641587544545191,,
S163,0.017101202189242083,,
S164,0.04369363287125279,,
S165,0.02352616979975071,0.02843564228927975,0.06025743379560898
S166,0.014028379442932119,,
S167,0.02099496639973169,,
S168,0.23001210997004873,,
S169,0.03714232860959034,0.05547576839908922,0.02557994403769904
S170,0.043097495821871834,0.20684340062694123,
S171,0.033074121628965135,0.37365434757433313,
S172,0.043774186183905765,,
S173,0.23030191845368306,,
S174,0.029022520528788415,,
S175,0.2959829695661228,,
S176,0.01704271279701298,,
S177,0.02217419526741087,,
S178,0.019728353293257988,,
